feature,psi,interpretacao
AMT_ANNUITY,0.00027773492054200354,Estável
BUREAU_TOTAL_DIVIDA,0.0002586101015884562,Estável
RENDA_LIVRE,0.00022733009575663527,Estável
PRAZO_ESTIMADO,0.00022286411156203863,Estável
AMT_INCOME_TOTAL,0.0002204400654731683,Estável
TEMPO_EMPRESA,0.0002173882671086723,Estável
IDADE,0.00019627760291574922,Estável
BUREAU_DEBT_RATIO,0.0001506673922426637,Estável
BUREAU_TOTAL_CREDITO,0.00014768069199007795,Estável
CREDITO_RENDA,0.0001407831670896706,Estável
BUREAU_QTD_ATIVOS,0.00011860821219097776,Estável
BEM_RENDA,0.00011762592814167837,Estável
BUREAU_QTD_CREDITOS,0.00011762319376527032,Estável
AMT_CREDIT,9.068699046813186e-05,Estável
PARCELA_RENDA,7.174017279755648e-05,Estável
COMPROMETIMENTO_RENDA,7.174017279755648e-05,Estável
AMT_GOODS_PRICE,6.852969477031448e-05,Estável
